SMILES,active_label
CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C\[C@@H]2C[C@]2(NC(=O)[C@@H]2C[C@H](CN2C1=O)OC(=O)N1CC2=C(C1)C(F)=CC=C2)C(=O)N=S([O-])(=O)C1CC1,0
CC1=NC(N2CC[NH+]3CCOC[C@H]3C2)=C(F)C(NNC(=O)[C@@H](CC2CCCC2)CN([O-])C=O)=N1,1
CO[P@@](=O)(C1=C(NC2=C1C(F)=C(Cl)C=C2)C(N)=O)C1=CC(\C=C/C#N)=CC(C)=C1,1
O[C@@H](CC1=CC=C(F)C=C1)\C=C/[C@H]1CCC(=O)N1CCSCCCC([O-])=O,1
COC1=C(CN2C=CC3=C2C=NC2=C3CCN([O-])C2=O)C=CC(F)=C1,0
NC1=NC(=CS1)C(=N/O)\C(=O)N[C@H]1[C@H]2SCC(\C=C3\CCN(CC(F)(F)F)C3=O)=C(N2C1=O)C([O-])=O,0
O[C@@H](CNC(=O)CN1C=CN=C1[N+]([O-])=O)C(F)(F)F,1
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C[C@@H]3[C@@H]([C@@H](C)OC3=O)[C@H]2\C=C/C2=NC=C(C=C2)C2=CC(F)=CC=C2)C1,0
COC1=C(O)C2=C(C[C@H]3[C@H](O)[NH+]4[C@@H](CC5=C([C@@H]4CNC(=O)\C=C/C4=CC(=CC=C4)C(F)(F)F)C4=C(OCO4)C(C)=C5OC(C)=O)[C@H]2[NH+]3C)C=C1C,1
COC1=C(OCCCN2CCCC2CO)C=C2N=CN=C(NC3=NNC(CC(=O)NC4=CC(F)=CC=C4)=C3)C2=C1,0
COC1=CC2=C(C=C1CN(C)C(C)C(N)=O)C(NC1=C(F)C(Cl)=CC=C1)=NC=N2,0
CC(O)C1=NC=C(C=C1)C1=C(F)C=C(C=C1)N1CC(CN2C=CN=N2)OC1=O,1
CC1=NC=CN1CC(=O)C1=NC=C(C=C1)C1=C(F)C=C(C=C1)N1CC(CN2C=CN=N2)OC1=O,1
OC1CCCC(C1)NC(=O)C1=NOC(=C1Cl)C1=CC=C(C=C1)C(F)(F)F,0
CC(O)(C1=CC=C(C=C1)C(=O)N(C1CC1)C1CCC(CC2(CC2)C(N)=O)CC1)C(F)(F)F,0
OC(=O)CC(NC(=O)CN1C(=O)C(NCC2=NC3=C(CCCN3)C=C2)=NC=C1C1CC1)C1=CC(F)=CC=C1,0
CC(CO)NC1=NC(SCC2=C(F)C(F)=CC=C2)=NC2=C1N=CC(=O)N2,0
CC(=O)N1C2CCCC1C=C(CN1C3CCC1CC(C3)NC1=NC3=C(C=C1)C=CC(=C3)C(F)(F)F)C2,0
OCC1OC(OC2=C(F)C=C(C=C2)N2C=CC3=CC=CC=C23)C(O)C(O)C1O,0
COC1=C(OC)C=C2C(=C1)N=NC(C(N)=O)=C2NC1=CC=C(C)C=C1F,0
CC(C)(CO)CNCC1=C(ON=C1C(=O)NC1CCCC(O)C1)C1=CC=C(C=C1)C(F)(F)F,1
CN1CC(F)(F)CC1C1=NC(C(=O)NCC2=CC=C(F)C=C2)=C(O)C(=O)N1C,0
CN1CC(O)CC1C1=NC(C(=O)NCC2=CC=C(F)C=C2)=C(O)C(=O)N1C,1
CC1=NN(C(=C1)C1CCN(CC1)C(=O)C1CN(CC1C1=C(F)C=C(F)C=C1)C(C)(C)C)C1=C(Cl)C=CC(Cl)=C1,0
CC1(C)CN(CCC#N)C(=O)C1OC1=CC(=C(C=C1)C#N)C(F)(F)F,1
FC1CC1C(=O)NC1=NC=CC(NC(=O)C2=C(F)C=C(C=C2Cl)C#N)=C1,0
CC1(CNC2(CCCC2)C(=O)N1CC(=O)NC1=CC2=C(CC3(C2)C(=O)NC2=C3C=CC=N2)N=C1)C1=CC(F)=CC(F)=C1,1
FC1=CC=CC(COC2=NC3=C(C=C2)C(=O)NCC3)=C1,0
OCC1OC(OC2=C(F)C=C(C=C2)N2C=CC3=C2C=CC(=C3)[N+]([O-])=O)C(O)C(O)C1O,0
CC1CN2C(C(C)O1)C1(CC3=CC4=C(ON=C4C(F)(F)F)C(F)=C23)C(=O)NC(=O)NC1=O,0
CC1CN(CC2=C(O)C(=CC=C2)C2=CC(OC3=C(C=C(F)C=N3)C(=O)NC3CCC(CC3)NC(=O)C3=NN(C)C(C)=C3)=CC=C2)CC(C)N1,0
CC1CN(CC2=CC=C(C=C2)C2=CC(OC3=C(C=C(F)C=N3)C(=O)NC3CCC(CC3)NC(=O)C3=NN4C=CC=CC4=C3)=CC=C2)CC(C)N1,0
CC1CN(CCCC2=CC=C(C=C2)C2=CC(OC3=C(C=C(F)C=N3)C(=O)NC3CCC(CC3)NC(=O)C3=NN(C)C(C)=C3)=CC=C2)CC(C)N1,0
OCC1C(O)C(O)C(O)CN1CCCCCCOC1=CC(F)=CC=C1,1
OCC1C(O)C(O)C(O)CN1CCCCCCOC1=CC=CC(=C1)C(F)(F)F,0
CC(NC1=CC(F)=CC(F)=C1)C1=CC(=CC2=C1OC(=CC2=O)N1CCOC(C)C1)C(=O)N(C)C,0
FC1=CN=C(C=C1)N1CCC2=C(C=CC(OCC3=CC(F)=CC=C3)=N2)C1=O,0
COC1=C(C=CC=C1F)C1CCN(CC1)C1=C(Cl)C2=NN=C(CC3CC3)N2C=C1,0
CN(C)C1CC(C(C1)C1=C(F)C=C(F)C=C1)C(=O)N1CCC(CC1)C1=NC(C)=NN1C1=CC(C)=C(Cl)C=C1,1
NC(CC(=O)N1CCN(CC1)C(=O)C1=CC=CC=N1)CC1=CC(F)=C(F)C=C1F,1
CC1(N)CC(C(C1)C1=C(F)C=C(F)C=C1)C(=O)N1CCC(CC1)C1=CC=NN1C1=CC(Cl)=C(F)C=C1,0
CC1=NN(C(=C1)C1CCN(CC1)C(=O)C1CC(C)(N)CC1C1=C(F)C=C(F)C=C1)C1=CC(Cl)=C(F)C=C1,0
CN(C)C1(C)CC(C(C1)C1=C(F)C=C(F)C=C1)C(=O)N1CCC(CC1)C1=NC(C)=NN1C1=C(Cl)C=CC(Cl)=C1,1
CC1(N)CC(C(C1)C1=C(F)C=C(F)C=C1)C(=O)N1CCC(CC1)C1=NC=NN1C1=CC(Cl)=C(F)C=C1,1
CC1=NN(C(=N1)C1CCN(CC1)C(=O)C1CN(CC1C1=C(F)C=C(F)C=C1)C(C)(C)C)C1=CC(C)=C(Cl)C=C1,0
CC1=NN(C(=N1)C1CCN(CC1)C(=O)C1CN(CC1C1=C(F)C=C(F)C=C1)C(C)(C)C)C1=CC=C(Cl)C=C1,1
FC1=C(NC(=O)C[N+]23CCC(CC2)C(C3)OC(=O)C2(CCCCCC2)C2=CC=CC2)N=CC=C1,0
OC(=O)C1=C(C=CC(=C1)C(F)(F)F)N1CCC(C1)OC1=CC=C(F)C=C1,0
CC(NC(=O)N1CCC2=CN=C(NC3CCOCC3)N=C2C1)C1=CC(F)=C(Cl)C=C1,0
CNC(C)C(=O)NC1CCCC2CC3CCN(CCC4=CC=C(F)C=C4)CC3N2C1=O,1
