cano_smiles,activity,group,ALogP,ALogp2,ATS0m,ATS8m,AATS5m,AATS8m,AATS0v,AATS1v,AATS2v,AATS5v,AATS8v,AATS0p,AATS1p,AATS2p,AATS3p,AATS5p,AATS6p,AATS8p,AATS1i,AATS3i,AATS7i,ATSC2c,ATSC3c,ATSC2v,ATSC3v,ATSC4v,ATSC5v,ATSC6v,ATSC8v,ATSC2e,AATSC2c,AATSC3c,AATSC2e,AATSC0p,AATSC3i,MATS3c,MATS8v,MATS2e,MATS5p,MATS6p,MATS1i,MATS3i,MATS6i,MATS1s,GATS1c,GATS4c,GATS5c,GATS2m,GATS3e,GATS6p,GATS1i,GATS2i,GATS3i,GATS1s,GATS3s,VR2_Dzv,SpMAD_Dze,SpMAD_Dzs,nBase,BCUTc-1h,nBondsM,SpMax2_Bhm,SpMax2_Bhv,SpMin1_Bhv,SpMax2_Bhe,SpMin2_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMin2_Bhi,SC-3,ASP-2,Mv,Mp,CrippenLogP,VR2_Dt,SwHBa,minwHBa,minHdsCH,minHother,mindssC,maxHBa,maxsF,hmax,LipoaffinityIndex,MAXDP,ETA_dEpsilon_B,ETA_Beta_ns,ETA_Eta_F_L,ZMIC1,ZMIC2,ZMIC3,ZMIC4,ZMIC5,Kier3,MLFER_BH,piPC5,R_TpiPCTPC,JGI5,SpMAD_D,XLogP
COC1=NC=C(C=C1NS(=O)(=O)C1=CC=C(F)C=C1F)C1=CN2C(=O)C(Cl)=CN=C2C=C1,0,train,-0.7563,0.57198969,7713.5722,8639.468331,99.75270946,101.6408039,270.4018382,307.3337843,277.4248046,215.2214769,222.1595382,1.838970706,2.050143834,1.841974259,1.708652566,1.492875327,1.528439972,1.528412891,146.827087,157.0070909,162.4566287,0.058369494,-0.04028021,252.4551415,-628.1584094,-483.4236762,7.956290826,588.9008615,-954.8027544,0.345459333,0.000748,-0.000415,0.004428966,0.297493458,-0.407245829,-0.01983137,-0.262052633,0.028145619,0.075119228,-0.036444229,-0.168767348,-0.154134678,-0.020125502,-0.122825029,1.384845246,1.062098783,0.90132547,0.722015393,0.970562364,1.096166629,1.107235863,0.933532181,1.166341939,0.642625036,1.038456895,14.51387974,9.126677643,16.88062018,2,0.262483316,19,3.996645935,3.852639834,2.050955566,3.943044007,1.879766854,4.077422322,3.848611505,1.86407706,3.090273788,0.280905071,0.732976697,0.743450552,4.12113,33.30546788,11.14894705,-1.168844992,0.597161084,0.597161084,-0.1643964,14.09031998,14.09031998,1.642774783,7.160444364,6.090319978,0.1311,23.75,9.1921,42.29531138,34.67132883,32.36601107,32.52120454,32.36601107,5.482041588,2.623,6.153530249,7.135372789,0.037037037,12.01715891,1.84
NC1=CC=C(Cl)C=C1CN1CCN(CC1)C(=O)CNC(=O)CC1CCC(F)(F)CC1,0,train,-1.2503,1.56325009,6334.313743,5523.39322,47.8747051,48.02950626,204.3962838,251.9927339,203.6401246,133.7933188,139.0904358,1.40610136,1.738777524,1.450047416,1.236504901,1.027949344,1.182158315,1.059441485,150.4001795,165.4810184,167.1314896,0.038792665,0.117486311,-124.7255454,-1020.794142,-905.0223956,1144.145633,-402.0123174,492.15092,1.588933178,0.00034,0.000725,0.01393801,0.240250558,0.004049673,0.050750615,0.086774387,0.122371413,0.105144768,-0.01232619,-0.122308867,0.00194106,0.022373914,-0.043216818,1.587965182,0.987636055,0.922920982,0.748129995,1.102873375,0.957704471,1.279207076,1.104040856,1.069071852,0.564621093,1.082031758,12.14055438,12.70071991,12.59981757,1,0.248199477,8,3.747987746,3.699585186,1.984560506,3.82649149,1.798793418,3.839551539,3.702099183,1.757549986,2.997443195,0.303893178,0.605117302,0.646554318,3.95559,12.50533159,9.155904574,-0.225642236,0,0.412553129,-0.225642236,13.20349486,13.20349486,0.823423571,7.793637328,5.422580623,0.02824,10,5.56626,47.74127193,36.0088164,30.81730382,30.81730382,30.81730382,7.828402367,2.523,5.139834399,2.068768437,0.022420635,14.2927919,2.173
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCC2=CC=C(C=C2)C(F)(F)F)C1)C(C)(C)C,0,train,0.4809,0.23126481,5879.471442,7161.215402,43.80534122,29.47002223,189.309635,238.7086538,191.2102905,139.4854281,113.1735126,1.292020464,1.659734837,1.365729933,1.241452922,1.047824356,1.198785592,0.941308624,150.7485436,161.5453573,164.9295615,-0.045430014,0.375112147,397.1074781,-1693.419023,524.0592767,683.1929391,-479.4247653,855.3508423,5.035264124,-0.000344,0.002061056,0.03814594,0.22149498,-0.276205035,0.154144088,0.07323401,0.333491547,0.113523084,-0.030911747,-0.126841714,-0.124951839,-0.017585395,-0.065325489,1.763985125,1.154765272,1.160601671,0.799794771,0.625815286,1.058025237,1.28755742,0.892647852,1.017862488,0.573324647,0.577999163,12.57219576,12.50761275,13.46792156,2,0.396250245,8,3.753346888,3.678475935,1.992428274,3.8234366,1.772765048,3.840208552,3.672406978,1.728076918,4.313718722,0.313136831,0.577499011,0.619558092,2.86009,13.41791114,5.056803239,-0.6420331,0,0.532497677,-0.227419187,13.04683472,12.73229813,1.315657896,11.48234052,6.046834717,0.02219,9,5.59097,52.61832578,39.44590401,34.53766981,32.52832426,32.52832426,9.520661157,2.477,5.112364224,2.048034934,0.033775253,14.30330379,4.835
COC1=CC=C(C=C1F)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)F,0,train,0.1084,0.01175056,5933.868675,7016.585922,73.73200498,97.45258225,247.3654599,292.1589442,255.8118172,197.1088178,189.4258945,1.671615602,1.961086659,1.686820967,1.584677627,1.370614801,1.401178591,1.247987587,149.0306652,159.4048995,170.3895381,-0.101650881,0.089988063,167.5109295,-367.0616279,-575.1248268,10.1297804,-28.43323323,73.91556605,0.838439638,-0.001431703,0.001071286,0.011809009,0.300882826,-0.051079403,0.057292434,0.022789603,0.066099252,0.01317271,-0.092352425,-0.015144017,-0.016120529,-0.157946675,-0.16706023,1.391691094,0.84394357,0.768164073,0.868211547,0.813315507,0.987907292,0.945244057,0.927567125,0.909787973,0.709302666,0.755614487,13.4516622,7.124678405,10.97102993,0,0.286453967,21,4.100745952,3.884948039,2.100218123,3.979517122,1.883157076,4.086659061,3.957835031,1.884554314,3.018230758,0.290690311,0.691165886,0.70106765,4.38248,18.10279101,10.3060509,-0.655259256,0,0.612146401,0,14.04125014,14.04125014,1.307695257,8.000168655,6.041250141,0.12262,20.25,7.5598,49.81839305,35.62409549,33.31695636,33.48073939,33.31695636,4.950743802,1.193,6.336161794,16.45577221,0.035987654,10.63566682,3.46
CC1(C)CN(CCC#N)C(=O)C1OC1=CC(=C(C=C1)C#N)C(F)(F)F,1,train,1.1937,1.42491969,4652.089202,6365.317569,78.54737411,84.87090092,229.0483739,274.3633397,230.0263902,189.5967114,175.3648948,1.472494182,1.801042832,1.517455535,1.391527598,1.268162644,1.256214881,1.144969991,148.0656092,157.2067884,166.5625581,-0.045496332,0.205967174,463.7428024,-1333.454629,1327.754982,-450.9376849,-456.8893794,-372.2507028,4.156817716,-0.000607,0.002080477,0.055424236,0.233687829,-0.577674917,0.104481861,-0.10864544,0.331092581,-0.013023657,-0.08694582,-0.097464546,-0.191515114,-0.034761454,-0.022499101,1.487714732,1.20327465,0.913352379,0.619571271,0.698578976,1.067598997,1.046046652,0.689849734,0.969233916,0.553924959,0.597148275,7.298846529,8.091845989,8.75623777,0,0.417941719,9,3.78882212,3.716161497,1.966484093,3.839819621,1.644763848,3.855160149,3.707424598,1.605126778,3.382112048,0.297852563,0.657994519,0.666477114,2.88638,10.72009331,4.362484044,-1.099917899,0,0.662967018,-0.362807041,13.04663668,13.04663668,1.439078022,6.589068767,5.453242748,0.05006,14,5.69523,39.00379594,32.7106304,30.8318087,30.8318087,30.8318087,5.041666667,1.421,5.381911453,3.547650376,0.030779321,10.1065296,2.722
COC(=O)N(CC(O)=O)CC1=CC(OCC2=C(C)OC(=N2)C2=CC=C(Cl)C=C2)=CC=C1F,0,train,0.9552,0.91240704,6739.97387,6734.666628,80.19481652,64.13968217,238.5583596,276.8658098,235.9435576,199.5354811,166.0782749,1.569037136,1.809299257,1.562147379,1.483788255,1.354388998,1.30569758,1.19314216,146.6184822,156.656756,163.4122476,0.214572687,0.206385103,541.5083391,-1016.099483,-423.5083,86.41353896,-50.50317547,597.0410086,1.0311984,0.002410929,0.001965572,0.011586499,0.245437331,-0.320232111,0.088439811,0.120659464,0.08145137,0.054960898,-0.101930157,-0.182541593,-0.173637608,-0.062402348,-0.073159766,1.579238155,1.293149751,0.905931329,0.662769932,1.089431765,1.068432509,1.223048058,0.947287203,1.224613814,0.644911241,0.992364595,9.115014266,10.19197022,10.29130091,0,0.340377412,20,3.872509309,3.821162651,1.979190288,3.898079836,1.862635029,3.918788054,3.815716586,1.845880835,2.441487685,0.297733076,0.672315583,0.688909028,4.3834,11.49461916,13.62771286,-1.239309084,0,0.490494677,-1.239309084,14.27532107,14.27532107,0.954270908,7.696604257,6.275321074,0.0905,21.5,8.96879,47.6952858,31.5856975,29.49608528,31.98879886,29.91153754,7.75862069,1.349,6.009427247,7.586350884,0.02763285,13.62475808,4.123
CC(C)(CO)CNCC1=C(ON=C1C(=O)NC1CCCC(O)C1)C1=CC=C(C=C1)C(F)(F)F,1,train,-1.3356,1.78382736,6043.834826,10299.91321,55.67872945,65.18932413,203.1752177,253.9291045,211.1363977,162.4361546,173.6094727,1.343121431,1.708608656,1.456166682,1.246833202,1.154392252,1.249613141,1.209492633,150.0686431,159.715545,161.1137577,-0.121301888,-0.013476782,154.2187648,-1455.381888,1809.77639,538.2648544,668.342478,-990.5857514,4.177101346,-0.001027982,-8.22E-05,0.035399164,0.225812366,-0.537372893,-0.004457256,-0.132090512,0.246157947,0.106059147,0.061146661,-0.001478532,-0.229397824,-0.029272599,-0.086061255,1.534711145,0.984532255,1.106047009,0.762032752,0.619353671,0.916064391,1.080929533,0.881664372,1.066179117,0.674053948,0.54956914,22.8804297,10.61506056,10.47404015,1,0.396249527,13,3.767607167,3.68449127,2.014954876,3.807716095,1.770659754,3.952963476,3.677787584,1.726474051,4.02088625,0.300145643,0.606351875,0.632951145,2.81879,11.87435414,4.232039729,-0.788001489,0,0.65199024,-0.463675858,12.95507419,12.93630868,1.370163664,8.461564786,5.955074192,0.04525,12.5,6.27309,47.16430127,33.65828053,32.15106027,31.39348314,32.69295525,7.739854878,2.067,5.854355333,7.29095325,0.029160207,12.89957969,3.682
COC1=CC=C(C=N1)[C@]1(O)CC[C@@H](CC1)N1CC[C@H](C1)NC(=O)CNC(=O)C1=CC=CC(=C1)C(F)(F)F,1,train,-1.5875,2.52015625,6673.839302,7699.852749,47.58105639,54.99894821,210.9556962,259.6293153,215.6514231,144.5688552,166.075861,1.391734751,1.737266525,1.475985895,1.286286536,1.092462334,1.010871197,1.190138868,149.4699649,161.1014726,166.9550812,0.126255204,0.206392246,-42.64255851,-847.6719021,-654.3304458,-534.4011029,1142.029973,-1145.115167,4.41297208,0.000979,0.001153029,0.034209086,0.227570454,-0.19493535,0.064606388,-0.17175617,0.251017473,-0.115293994,0.085488724,-0.101991046,-0.083327399,0.109639605,-0.065808892,1.609928646,1.041320682,0.762061786,0.801962633,0.735681573,0.813721387,1.16567409,0.878245712,0.912829804,0.60725446,0.64577946,16.57993553,14.35800865,15.05488372,1,0.416922355,14,3.864451826,3.824785949,2.00568862,3.913658154,1.881590952,3.839201934,3.822026449,1.855512361,3.889912082,0.29209755,0.621015376,0.646086501,2.55108,12.71724738,8.408564862,-0.919012248,0,0.493392754,-0.739767601,12.86126436,12.86126436,1.383431203,10.00163994,5.359427172,0.05032,15.5,7.82211,55.93656645,35.41960351,31.77482886,31.05351189,30.9332924,8.027777778,2.9,5.700025426,2.489938447,0.037689125,16.6794436,3.874
COC1=C(C=C2C(=C1)N=NC(C(N)=O)=C2NC1=CC(C)=CC=C1F)N1CCN(C)CC1,0,train,0.1898,0.03602404,5249.263882,8245.309278,62.72619579,54.6046972,217.2174294,260.4212205,222.1585555,179.8638354,160.4025373,1.452281779,1.750233927,1.512124389,1.470345583,1.281664152,1.375247917,1.169337796,151.0443295,159.2997372,163.8404059,-0.328825124,0.145648318,988.2998839,-558.6131325,-262.1372236,1104.669459,-280.4267144,-603.76809,-0.714308194,-0.003223776,0.001137877,-0.007003022,0.219752608,0.007141503,0.071706532,-0.083285894,-0.079169169,0.122229414,-0.058218022,-0.12665739,0.003678857,-0.087562745,-0.050676138,1.432562826,0.723670549,1.185529984,0.766560061,0.869138688,1.082438206,1.266764537,1.04653664,1.08757841,0.613161471,0.793660879,21.82612744,8.291985222,8.254727529,1,0.225469302,18,3.834093834,3.804063401,2.102872104,3.871973397,1.849677185,3.972851401,3.802699299,1.827563204,2.357383584,0.281384484,0.632085389,0.664786409,3.87428,11.2608291,11.21399978,-0.74821613,0,0.539326223,-0.74821613,14.46604821,14.46604821,0.686717425,9.541636022,6.466048213,0.06924,19,8.15113,45.98286793,30.46769415,27.44560089,27.44560089,27.44560089,5.399449036,3.277,6.299293857,9.060011202,0.028039832,10.93232565,2.449
CC1=CC(=CC(=N1)C(F)(F)F)C1=NN=C(N)N=C1C1=CC=C(F)C=C1,0,train,1.2674,1.60630276,4744.140182,5120.150459,102.1496598,81.27222951,251.1927363,293.2897251,261.6719844,237.1125771,173.1905771,1.577892721,1.871371142,1.660319703,1.561773275,1.517147613,1.297392927,1.133171384,153.0761236,164.8240865,172.885091,0.067878216,0.131753217,137.9077468,-169.5139203,58.62611291,-582.9679303,-403.7635181,-253.7848801,4.22680525,0.001112758,0.001829906,0.069291889,0.230827951,0.258795648,0.098653907,-0.098035149,0.372585393,-0.275196376,0.051066046,-0.023461255,0.06565305,0.074466233,-0.122480195,1.776153901,0.815672891,1.02499083,0.495835705,0.707758701,0.888422318,0.901803763,0.788433651,0.793179281,0.645598808,0.652557284,9.439927113,6.465242662,6.315257779,0,0.410876184,20,3.834840962,3.781540043,2.113563595,3.861688581,1.82406994,3.990470085,3.776347329,1.800151197,2.981887235,0.297529809,0.704335815,0.694988739,4.05579,9.568619046,6.951868229,-1.049832294,0,0.64650463,0,13.13588025,13.13588025,1.452314298,8.783817878,5.13588025,0.15238,19,7.24316,48.09122987,37.39916598,35.14753682,34.97142987,34.09089515,4.837984173,1.263,6.345087965,16.39179783,0.030318428,9.453998819,4.725
